FILES=10
NAME|WORKSPACE_PATH|WORKSPACE_SHA256|DEPLOYED_PATH|DEPLOYED_SHA256|STATUS
AdaptiveSurvivalEA.mq5|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\AdaptiveSurvivalEA.mq5|B531DFE786FEE239A0DEB7249528DE52631F1C90630A0D91DD8BCD7338EBB431|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\AdaptiveSurvivalEA.mq5|B531DFE786FEE239A0DEB7249528DE52631F1C90630A0D91DD8BCD7338EBB431|MATCH
BrokerEnvironment.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\BrokerEnvironment.mqh|A094E2BB77E7BDDFDFDD69CE2CFBF026043365CB3633661B50DEC62EFF445FB0|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\BrokerEnvironment.mqh|A094E2BB77E7BDDFDFDD69CE2CFBF026043365CB3633661B50DEC62EFF445FB0|MATCH
Config.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\Config.mqh|5EBCDEA203CCB9DD2CB24EA469F7CE52F09A18EEBC271CC4E11BA8ED8F9DD516|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\Config.mqh|5EBCDEA203CCB9DD2CB24EA469F7CE52F09A18EEBC271CC4E11BA8ED8F9DD516|MATCH
DiagnosticCollector.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\DiagnosticCollector.mqh|218EE8DE27E1DE527D408EF8C0F0A9183FE3362F1B637B4E9AA52B1F273680C0|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\DiagnosticCollector.mqh|218EE8DE27E1DE527D408EF8C0F0A9183FE3362F1B637B4E9AA52B1F273680C0|MATCH
Logger.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\Logger.mqh|BDB1186DE691D7C8070BD4B3485043A85BF05D7D231796C6A8C78DD728BC13B2|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\Logger.mqh|BDB1186DE691D7C8070BD4B3485043A85BF05D7D231796C6A8C78DD728BC13B2|MATCH
MarketBrain.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\MarketBrain.mqh|68B66C1B66641E0E69A81AAD9790B2BD06A9AC6CE0DFDD56CBF3691EC97A1877|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\MarketBrain.mqh|68B66C1B66641E0E69A81AAD9790B2BD06A9AC6CE0DFDD56CBF3691EC97A1877|MATCH
RegimeFusion.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\RegimeFusion.mqh|3D3A92749167883308D3E88E34EF8A54F6B961DE25F690CE45B28CD5C61D94F2|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\RegimeFusion.mqh|3D3A92749167883308D3E88E34EF8A54F6B961DE25F690CE45B28CD5C61D94F2|MATCH
RiskEngine.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\RiskEngine.mqh|DD75E893C137989D0C4EA8CF6E219D1C35173636640A7C1A40946BA08ED4E6F4|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\RiskEngine.mqh|DD75E893C137989D0C4EA8CF6E219D1C35173636640A7C1A40946BA08ED4E6F4|MATCH
SwingStructure.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\SwingStructure.mqh|115F53FE3FB9B82DF35FE790A1201584297B2210B21A0A9961D3A627F6DA97E8|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\SwingStructure.mqh|115F53FE3FB9B82DF35FE790A1201584297B2210B21A0A9961D3A627F6DA97E8|MATCH
Types.mqh|C:\Users\dirga\Documents\EA\AdaptiveSurvivalEA\Types.mqh|98886EECAAFA8B7CA4DDA0529E7E9E05BD04F98E9A87DABAB650D2BFA581844F|C:\Users\dirga\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\AdaptiveSurvivalEA\Types.mqh|98886EECAAFA8B7CA4DDA0529E7E9E05BD04F98E9A87DABAB650D2BFA581844F|MATCH
SUMMARY=10/10 MATCH
